,Start,End,Type,speed,distance from camera,type
0,,,,,,person
1,,,,Speed: 1.2 m/s,,
2,,,,,Dis: 134.27 inch,
3,,,,,,person
4,,,,Speed: 0.2 m/s,,
5,,,,,Dis: 143.61 inch,
6,,,,,,person
7,,,,Speed: 1.23 m/s,,
8,,,,,Dis: 129.02 inch,
9,,,,,,person
10,,,,Speed: 0.35 m/s,,
11,,,,,Dis: 128.02 inch,
12,,,,,,person
13,,,,Speed: 0.11 m/s,,
14,,,,,Dis: 131.07 inch,
15,,,,,,person
16,,,,Speed: 0.39 m/s,,
17,,,,,Dis: 130.04 inch,
18,,,,,,person
19,,,,Speed: 0.51 m/s,,
20,,,,,Dis: 131.07 inch,
21,,,,,,person
22,,,,Speed: 0.96 m/s,,
23,,,,,Dis: 137.62 inch,
24,,,,,,person
25,,,,Speed: 0.2 m/s,,
26,,,,,Dis: 139.96 inch,
27,,,,,,person
28,,,,Speed: 0.19 m/s,,
29,,,,,Dis: 144.87 inch,
30,,,,,,person
31,,,,Speed: 2.51 m/s,,
32,,,,,Dis: 122.33 inch,
33,2022-05-11 17:01:06.232064,2022-05-11 17:01:09.713717,,,,
34,,,,,,person
35,,,,Speed: 1.56 m/s,,
36,,,,,Dis: 126.07 inch,
37,2022-05-11 17:01:09.713717,2022-05-11 17:01:14.451489,,,,
38,,,,,,person
39,,,,Speed: 0.19 m/s,,
40,,,,,Dis: 131.07 inch,
41,,,,,,person
42,,,,Speed: 1.96 m/s,,
43,,,,,Dis: 142.37 inch,
44,,,,,,person
45,,,,Speed: 1.25 m/s,,
46,,,,,Dis: 151.51 inch,
47,,,,,,person
48,,,,Speed: 0.04 m/s,,
49,,,,,Dis: 137.62 inch,
50,2022-05-11 17:01:16.859445,2022-05-11 17:01:19.933762,,,,
51,,,,,,person
52,,,,Speed: 0.42 m/s,,
53,,,,,Dis: 128.02 inch,
54,,,,,,person
55,,,,Speed: 1.68 m/s,,
56,,,,,Dis: 126.07 inch,
57,,,,,,person
58,,,,Speed: 1.77 m/s,,
59,,,,,Dis: 119.67 inch,
